X,Y,
3.01769,6.11378,
4.10235,7.34544,
5.06797,14.1196,
5.74947,26.4179,
6.31194,44.2587,
6.77929,65.9780,
7.15207,88.7978,
7.59406,119.403,
7.89521,146.660,
8.28824,186.149,
8.60986,228.964,
9.02358,282.900,
9.29681,331.821,
9.54656,380.184,
