X,Y,
3.06497,5.56346,
4.03137,8.44870,
5.20970,13.0242,
6.03382,19.7826,
6.59806,28.7345,
6.94927,41.5517,
7.39226,67.1572,
7.69318,95.5248,
7.96585,147.223,
8.09690,199.462,
8.15308,272.248,
8.13895,342.804,
8.15508,380.029,
